Destination,State/Region,Category,Best Season to Visit,Popular Activities,Average Budget,Visitor Ratings,Number of Reviews,State,Rating,Budget_Level,Preferred_Activity,Season_Preference,User_Age_Group,Preferred_Travel_Type
Mysore,Meghalaya,Spiritual,All Year,Water Sports,High,3.4,470.0,,,,,,,
Shillong,Rajasthan,Heritage,Summer,Relaxation,Low,1.3,201.0,,,,,,,
,Tamil Nadu,Hill Station,All Year,Cultural Tour,Low,3.6,365.0,,,,,,,
Jaisalmer,Karnataka,Adventure,All Year,Relaxation,Medium,3.5,287.0,,,,,,,
Jaipur,Tamil Nadu,Spiritual,Monsoon,Cultural Tour,Low,3.6,27.0,,,,,,,
Jaipur,Uttarakhand,Heritage,All Year,Relaxation,meduim,2.2,21.0,,,,,,,
Delhi,Uttarakhand,Wildlife,Winter,Wildlife Safari,High,4.4,189.0,,,,,,,
Kerala,Uttarakhand,Heritage,Monsoon,Relaxation,Medium,4.8,132.0,,,,,,,
Rishikesh,Punjab,Hill Station,Monsoon,Wildlife Safari,Medium,1.9,255.0,,,,,,,
Badrinath,Rajasthan,Hill Station,Monsoon,Wildlife Safari,High,1.4,231.0,,,,,,,
,Uttarakhand,Beach,Summer,Water Sports,Medium,1.8,382.0,,,,,,,
Chennai,Rajasthan,Spiritual,Summer,Trekking,meduim,4.3,60.0,,,,,,,
,Uttar Pradesh,Beach,All Year,Cultural Tour,Low,3.7,497.0,,,,,,,
Shimla,Uttar Pradesh,Heritage,Monsoon,Water Sports,Low,3.5,80.0,,,,,,,
Badrinath,Himachal Pradesh,Hll Station,Monsoon,Water Sports,Low,2.6,489.0,,,,,,,
Badrinath,Delhi,Adventure,Winter,Wildlife Safari,Medium,3.3,57.0,,,,,,,
Hampi,Uttar Pradesh,Hill Station,All Year,Wildlife Safari,Medium,2.2,28.0,,,,,,,
Chennai,Meghalaya,Adventure,Winter,Cultural Tour,High,2.9,271.0,,,,,,,
Munnar,Uttarakhand,Adventure,All Year,Relaxation,meduim,4.2,93.0,,,,,,,
Manali,Tamil Nadu,Adventure,All Year,Relaxation,Medium,4.9,164.0,,,,,,,
Ladakh,Uttar Pradesh,Heritage,Summer,Water Sports,Medium,4.7,62.0,,,,,,,
Badrinath,Uttar Pradesh,Adventure,Summer,Sightseeing,High,4.7,116.0,,,,,,,
Munnar,Uttar Pradesh,Wildlife,Winter,Sightseeing,Low,2.6,366.0,,,,,,,
Udaipur,Punjab,Adventure,All Year,Relaxation,Medium,2.9,313.0,,,,,,,
Pondicherry,Rajasthan,Adventure,Monsoon,Sightseeing,High,3.8,144.0,,,,,,,
,Tamil Nadu,Beach,Summer,Relaxation,High,4.7,452.0,,,,,,,
Chennai,Uttarakhand,Heritage,Monsoon,Wildlife Safari,High,1.6,78.0,,,,,,,
Varanasi,Meghalaya,Hill Station,Winter,Water Sports,Low,2.2,20.0,,,,,,,
Mussoorie,Rajasthan,Beach,Summer,Trekking,Medium,1.6,152.0,,,,,,,
Munnar,Ladakh,Spiritual,Summer,Water Sports,High,3.4,201.0,,,,,,,
Haridwar,Rajasthan,Heritage,All Year,Relaxation,Low,2.2,396.0,,,,,,,
Manali,Meghalaya,Wildlife,Winter,Relaxation,meduim,2.3,387.0,,,,,,,
Varanasi,Rajasthan,Heritage,All Year,Water Sports,High,1.3,78.0,,,,,,,
Kedarnath,Andaman & Nicobar,Hll Station,Summer,Cultural Tour,meduim,2.4,32.0,,,,,,,
Kerala,Sikkim,Spiritual,Winter,Relaxation,High,4.4,190.0,,,,,,,
Hampi,Rajasthan,Spiritual,Summer,Sightseeing,High,1.9,302.0,,,,,,,
Ranthambore,Karnataka,Hill Station,Winter,Sightseeing,Low,3.8,18.0,,,,,,,
Kerala,Uttarakhand,Adventure,Summer,Relaxation,Medium,3.5,280.0,,,,,,,
Chennai,Karnataka,Heritage,Monsoon,Relaxation,Medium,4.5,396.0,,,,,,,
Rishikesh,Kerala,Adventure,Monsoon,Cultural Tour,Medium,6.019473630622013,102.0,,,,,,,
Andaman,Punjab,Adventure,All Year,Sightseeing,Medium,4.9,463.0,,,,,,,
Kolkata,Puducherry,Wildlife,Monsoon,Relaxation,meduim,3.3,26.0,,,,,,,
Shimla,Rajasthan,Spiritual,Summer,Relaxation,Low,5.0,163.0,,,,,,,
Prayagraj,Karnataka,Hill Station,Summer,Cultural Tour,Low,4.6,414.0,,,,,,,
Sikkim,Rajasthan,Wildlife,Monsoon,Cultural Tour,High,1.9,337.0,,,,,,,
Ladakh,Karnataka,Beach,All Year,Water Sports,High,1.2,158.0,,,,,,,
Pondicherry,Punjab,Hill Station,Monsoon,Cultural Tour,High,2.0,386.0,,,,,,,
Ooty,Uttarakhand,Adventure,Winter,Trekking,Medium,3.1,276.0,,,,,,,
Udaipur,Rajasthan,Hill Station,Winter,Sightseeing,High,1.7,431.0,,,,,,,
Haridwar,Puducherry,Spiritual,Winter,Water Sports,Medium,1.7,337.0,,,,,,,
Munnar,West Bengal,Hll Station,Monsoon,Trekking,High,2.9,115.0,,,,,,,
Shillong,Karnataka,Spiritual,Monsoon,Relaxation,Medium,1.1,481.0,,,,,,,
,Uttar Pradesh,Beach,Monsoon,Relaxation,High,1.5,390.0,,,,,,,
,Himachal Pradesh,Hll Station,Winter,Water Sports,High,2.7,44.0,,,,,,,
Kolkata,Uttar Pradesh,Adventure,All Year,Cultural Tour,Low,1.3,128.0,,,,,,,
Ranthambore,Uttar Pradesh,Beach,Summer,Relaxation,High,2.6,23.0,,,,,,,
Varanasi,Karnataka,Beach,Monsoon,Wildlife Safari,High,2.9,23.0,,,,,,,
Prayagraj,Ladakh,Beach,All Year,Water Sports,Low,2.8,275.0,,,,,,,
Kolkata,West Bengal,Hill Station,Summer,Trekking,Medium,4.5,149.0,,,,,,,
Mussoorie,Sikkim,Wildlife,Summer,Water Sports,Low,3.1,303.0,,,,,,,
Varanasi,Puducherry,Hll Station,Summer,Sightseeing,Low,2.9,373.0,,,,,,,
Munnar,Puducherry,Adventure,All Year,Cultural Tour,Medium,7.918500386977833,128.0,,,,,,,
Rishikesh,Uttar Pradesh,Beach,All Year,Cultural Tour,High,4.3,247.0,,,,,,,
Andaman,Sikkim,Wildlife,Winter,Water Sports,Medium,4.6,43.0,,,,,,,
Kerala,Uttar Pradesh,Wildlife,All Year,Relaxation,meduim,9.9839745964028,178.0,,,,,,,
Varanasi,Himachal Pradesh,Heritage,All Year,Relaxation,High,3.7,19.0,,,,,,,
Rajasthan,Goa,Adventure,All Year,Wildlife Safari,Medium,1.5,131.0,,,,,,,
Ranthambore,Goa,Wildlife,Summer,Wildlife Safari,Low,2.1,410.0,,,,,,,
Hampi,Karnataka,Beach,Monsoon,Cultural Tour,Medium,1.2,154.0,,,,,,,
,Uttar Pradesh,Beach,Winter,Wildlife Safari,High,4.7,460.0,,,,,,,
Rajasthan,Sikkim,Wildlife,Monsoon,Trekking,Medium,3.6,455.0,,,,,,,
Prayagraj,Uttarakhand,Hill Station,Monsoon,Wildlife Safari,Medium,4.0,232.0,,,,,,,
Ladakh,Rajasthan,Adventure,All Year,Trekking,meduim,2.2,380.0,,,,,,,
Prayagraj,Uttar Pradesh,Beach,Winter,Wildlife Safari,Low,4.4,266.0,,,,,,,
Chennai,West Bengal,Wildlife,Monsoon,Cultural Tour,Medium,2.0,277.0,,,,,,,
