Budget_Level,User_Age_Group,Destination,State,Category,Rating,Preferred_Activity,Season_Preference,Preferred_Travel_Type
Medium,50+,Shimla,Himachal Pradesh,Hill Station,4.8,Trekking,Autumn,Solo
Medium,26-35,Kerala,Kerala,Adventure,3.2,Wildlife,Autumn,Group
High,36-50,Leh,Ladakh,Urban,2.8,Trekking,Autumn,Family
Medium,18-25,Mumbai,Maharashtra,Heritage,2.5,Pilgrimage,Summer,Solo
Low,18-25,Varanasi,Uttar Pradesh,Spiritual,3.2,Pilgrimage,Summer,Solo
High,50+,Rishikesh,Uttarakhand,Spiritual,4.8,Water Sports,Spring,Couple
Low,36-50,Udaipur,Rajasthan,Heritage,2.0,Trekking,Spring,Group
High,36-50,Manali,Himachal Pradesh,Hill Station,3.0,Sightseeing,Autumn,Friends
High,50+,Mysore,Karnataka,Urban,4.7,Trekking,Winter,Friends
Medium,26-35,Chennai,Tamil Nadu,Heritage,2.7,Wildlife,Summer,Group
Medium,26-35,Udaipur,Rajasthan,Hill Station,4.2,Wildlife,Summer,Friends
High,36-50,Mussoorie,Uttarakhand,Urban,2.9,Pilgrimage,Summer,Friends
High,36-50,Rishikesh,Uttarakhand,Hill Station,4.3,Water Sports,Winter,Friends
High,18-25,Jaipur,Rajasthan,Urban,4.9,Wildlife,Spring,Couple
Low,36-50,Leh,Ladakh,Beach,2.9,Trekking,Spring,Family
Medium,26-35,Mysore,Karnataka,Urban,4.5,Sightseeing,Winter,Group
Low,26-35,Rishikesh,Uttarakhand,Adventure,5.0,Trekking,Winter,Solo
Medium,50+,Chennai,Tamil Nadu,Heritage,4.9,Sightseeing,Summer,Friends
Medium,36-50,Darjeeling,West Bengal,Spiritual,3.0,Sightseeing,Monsoon,Couple
Medium,50+,Goa,Goa,Beach,3.2,Wildlife,Winter,Couple
Low,50+,Agra,Uttar Pradesh,Spiritual,2.6,Water Sports,Summer,Group
Low,50+,Bangalore,Karnataka,Beach,2.6,Water Sports,Autumn,Family
Low,18-25,Sikkim,Sikkim,Beach,3.2,Pilgrimage,Summer,Friends
Low,18-25,Jaipur,Rajasthan,Hill Station,2.2,Pilgrimage,Summer,Couple
High,18-25,Chennai,Tamil Nadu,Hill Station,4.0,Relaxation,Winter,Family
Medium,18-25,Agra,Uttar Pradesh,Spiritual,3.4,Pilgrimage,Summer,Family
Low,50+,Varanasi,Uttar Pradesh,Urban,4.6,Pilgrimage,Summer,Couple
High,26-35,Bangalore,Karnataka,Beach,4.3,Sightseeing,Spring,Friends
Medium,36-50,Sikkim,Sikkim,Heritage,2.6,Wildlife,Summer,Solo
Medium,36-50,Kolkata,West Bengal,Beach,3.3,Relaxation,Spring,Solo
Medium,26-35,Jaipur,Rajasthan,Heritage,4.1,Pilgrimage,Summer,Friends
Medium,,Manali,Himachal Pradesh,Heritage,2.2,Pilgrimage,Autumn,Group
High,36-50,Leh,Ladakh,Beach,1.6,Wildlife,Summer,Group
Low,50+,Leh,Ladakh,Beach,4.5,Sightseeing,Summer,Friends
Medium,18-25,Delhi,Delhi,Beach,2.0,Sightseeing,Monsoon,Couple
Medium,18-25,Darjeeling,West Bengal,Heritage,4.6,Relaxation,Winter,Group
Low,26-35,Hyderabad,Telangana,Beach,4.7,Pilgrimage,Spring,Group
Medium,18-25,Shimla,Himachal Pradesh,Urban,3.1,Trekking,Winter,Solo
Low,18-25,Ooty,Tamil Nadu,Beach,4.3,Sightseeing,Monsoon,Solo
High,26-35,Mussoorie,Uttarakhand,Hill Station,2.8,Trekking,Winter,Family
Low,18-25,Udaipur,Rajasthan,Beach,4.5,Wildlife,Monsoon,Couple
Medium,18-25,Andaman,Andaman & Nicobar,Adventure,4.4,Relaxation,Monsoon,Group
Medium,36-50,Kolkata,West Bengal,Urban,1.8,Water Sports,Autumn,Group
Low,50+,Manali,Himachal Pradesh,Adventure,3.5,Sightseeing,Summer,Family
Low,50+,Hyderabad,Telangana,Beach,3.7,Relaxation,Monsoon,Solo
Medium,26-35,Manali,Himachal Pradesh,Beach,1.5,Sightseeing,Spring,Group
High,36-50,Chennai,Tamil Nadu,Spiritual,4.9,Wildlife,Monsoon,Couple
Medium,26-35,Bangalore,Karnataka,Heritage,2.9,Pilgrimage,Autumn,Couple
High,36-50,Goa,Goa,Spiritual,3.3,Sightseeing,Monsoon,Solo
Low,50+,Mysore,Karnataka,Beach,2.2,Trekking,Spring,Solo
Medium,26-35,Udaipur,Rajasthan,Hill Station,3.6,Water Sports,Autumn,Family
Medium,18-25,Ooty,Tamil Nadu,Heritage,4.3,Water Sports,Winter,Friends
Low,50+,Udaipur,Rajasthan,Hill Station,3.6,Pilgrimage,Winter,Friends
,18-25,Varanasi,Uttar Pradesh,Adventure,4.3,Wildlife,Autumn,Couple
High,18-25,Kolkata,West Bengal,Beach,4.1,Sightseeing,Summer,Friends
High,18-25,Goa,Goa,Beach,2.3,Pilgrimage,Monsoon,Friends
Medium,50+,Darjeeling,West Bengal,Spiritual,3.0,Water Sports,Summer,Solo
Medium,36-50,Darjeeling,West Bengal,Urban,2.0,Sightseeing,Winter,Group
Medium,50+,Delhi,Delhi,Spiritual,1.6,Trekking,Summer,Friends
Low,36-50,Mysore,Karnataka,Urban,1.7,Water Sports,Winter,Group
High,36-50,Mussoorie,Uttarakhand,Beach,4.8,Water Sports,Autumn,Group
High,50+,Udaipur,Rajasthan,Hill Station,4.9,Wildlife,Summer,Friends
Low,36-50,Mussoorie,Uttarakhand,Heritage,1.8,Sightseeing,Monsoon,Group
High,26-35,Rishikesh,Uttarakhand,Urban,2.7,Relaxation,Spring,Group
Low,18-25,Shimla,Himachal Pradesh,Adventure,1.9,Trekking,Winter,Group
Low,26-35,Mysore,Karnataka,Beach,4.4,Pilgrimage,Summer,Solo
Medium,50+,Sikkim,Sikkim,Urban,3.2,Sightseeing,Monsoon,Family
High,18-25,Kerala,Kerala,Hill Station,3.7,Trekking,Summer,Solo
High,26-35,Darjeeling,West Bengal,Beach,3.4,Trekking,Autumn,Couple
Medium,26-35,Goa,Goa,Hill Station,4.0,Wildlife,Summer,Couple
High,18-25,Chennai,Tamil Nadu,Adventure,2.6,Wildlife,Winter,Couple
Medium,50+,Delhi,Delhi,Beach,2.0,Trekking,Winter,Solo
Medium,50+,Delhi,Delhi,Hill Station,1.6,Pilgrimage,Winter,Couple
Medium,26-35,Varanasi,Uttar Pradesh,Spiritual,3.1,Trekking,Winter,Group
Medium,50+,Manali,Himachal Pradesh,Urban,4.7,Pilgrimage,Spring,Group
Low,18-25,Manali,Himachal Pradesh,Adventure,2.6,Trekking,Autumn,Group
Medium,18-25,Bangalore,Karnataka,Hill Station,2.2,Trekking,Spring,Couple
High,18-25,Udaipur,Rajasthan,Hill Station,4.7,Wildlife,Summer,Group
Medium,36-50,Agra,Uttar Pradesh,Spiritual,1.9,Wildlife,Summer,Family
High,50+,Jaipur,Rajasthan,Spiritual,1.7,Water Sports,Monsoon,Group
Medium,36-50,Agra,Uttar Pradesh,Urban,4.6,Wildlife,Winter,Family
High,36-50,Rishikesh,Uttarakhand,Hill Station,4.0,Trekking,Autumn,Couple
